mean_R_diag,mean_R_diag_k,mean_R_off,mean_R_off_k,mean_delta_norm_fro,mean_effective_rank,mean_eta_k,method,num_runs,target_modules,task
0.0013377450919481897,0.1441199320750132,0.9986622549080518,0.8558800679249866,7.479078283947376,3.902174909081724,0.00042025646985009523,kasa,12,"query,value",cola
0.0013477173441904867,0.14483111691546616,0.9986522826558096,0.8551688830845339,7.287975817297897,3.6237781109909215,0.0004490138484682464,kasa_noaux,12,"query,value",cola
0.0013331406891258378,0.1433648620753222,0.9986668593108744,0.8566351379246777,7.985930156169665,4.5574856114884215,0.0004168140158067716,lora,12,"query,value",cola
0.0013437875104191832,0.1390681082593862,0.9986562124895807,0.8609318917406137,8.189285003269713,4.512950764762031,0.000490686792597131,lora_diag,12,"query,value",cola
0.0013460458668326542,0.13671952104148835,0.9986539541331675,0.8632804789585116,7.893509014613099,4.479904960013099,0.000493067086221429,lora_diag_l2,12,"query,value",cola
0.0013444249946005654,0.13510967350167288,0.9986555750053995,0.8648903264983271,6.220919708203939,4.28409862683879,0.0005178182416764401,svd_only,12,"query,value",cola
0.0013533891724081771,0.14259720526394923,0.9986466108275919,0.8574027947360507,4.760119494309442,3.3591408419112363,0.0005658928193619004,kasa,12,"query,value",mrpc
0.0013639164401103114,0.13471844093381743,0.9986360835598899,0.8652815590661825,6.563945970808466,3.136485837813881,0.0006003690215336009,kasa_noaux,12,"query,value",mrpc
0.0013504622675493628,0.13817765131651907,0.9986495377324506,0.8618223486834808,6.786656094611518,3.82608311664727,0.0005656185862403422,lora,12,"query,value",mrpc
0.00137260597337789,0.13281835458007005,0.998627394026622,0.8671816454199299,6.700708252170847,3.871772953205639,0.000622503829498646,lora_diag,12,"query,value",mrpc
0.0013408684859936456,0.13084427091037457,0.9986591315140063,0.8691557290896256,6.19564897618774,3.9001010159651432,0.0004905404686038442,lora_diag_l2,12,"query,value",mrpc
0.001353432862687274,0.13870414230948366,0.9986465671373127,0.8612958576905164,6.536273190855152,3.745723666002353,0.0006789436875239093,svd_only,12,"query,value",mrpc
0.0013735034703732491,0.15977652025096464,0.9986264965296265,0.8402234797490352,4.529057142945627,3.4543335363268852,0.0005789190513998498,kasa,12,"query,value",rte
0.0013724748773355979,0.16848120579920778,0.9986275251226647,0.8315187942007922,4.321908434542517,3.1097496627933445,0.0006365139639810201,kasa_noaux,12,"query,value",rte
0.001359823834210877,0.1588077981076844,0.9986401761657892,0.8411922018923156,5.965039062417215,3.858377683493826,0.0005802162693094811,lora,12,"query,value",rte
0.001364261164037076,0.1555041931602303,0.9986357388359629,0.8444958068397698,6.235137475033601,3.9048346310026116,0.0005602701216339621,lora_diag,12,"query,value",rte
0.0013609437242590259,0.1540380044282311,0.9986390562757411,0.845961995571769,4.464555730732779,3.76484765816066,0.0006919806358368278,lora_diag_l2,12,"query,value",rte
0.0013660510523515093,0.1594283573673195,0.9986339489476485,0.8405716426326806,6.116254141554236,3.8236120885445017,0.0006147950447314231,svd_only,12,"query,value",rte
0.001361375034644964,0.1406675799476255,0.998638624965355,0.8593324200523745,11.248562877790796,4.635021603769727,0.0005274690296471775,kasa,12,"query,value",sst2
0.0013534869089435045,0.1386416055239739,0.9986465130910563,0.8613583944760261,16.396625488582583,4.701204895145363,0.000490554875399511,kasa_noaux,12,"query,value",sst2
0.001352519184370832,0.13612318167739237,0.9986474808156292,0.8638768183226077,157.20971097052097,4.85758381171359,0.0005483275401645783,lora,12,"query,value",sst2
0.0013645613498625695,0.14192260024589565,0.9986354386501374,0.8580773997541044,16.412426598370075,5.328057311061356,0.0005405159613033852,lora_diag,12,"query,value",sst2
0.0013641400946281135,0.14105962745483178,0.998635859905372,0.8589403725451682,16.25855456954903,5.322040618707736,0.0005457315142356566,lora_diag_l2,12,"query,value",sst2
0.0013501803283957128,0.1360223953932258,0.9986498196716044,0.8639776046067741,183.82236687590674,4.813107737650474,0.000551031826128378,svd_only,12,"query,value",sst2
